hè,ㄏㄜˋ
suì,ㄙㄨㄟˋ
wà,ㄨㄚˋ
wū,ㄨ
shěn,ㄕㄣˇ
fān,ㄈㄢ
cài,ㄘㄞˋ
jiāng,ㄐㄧㄤ
qī,ㄑㄧ
yíng,ㄧㄥˊ
me,˙ㄇㄜ
fù,ㄈㄨˋ
zhī,ㄓ
zǎng,ㄗㄤˇ
luō,ㄌㄨㄛ
shèng,ㄕㄥˋ
qǔ,ㄑㄩˇ
huǎn,ㄏㄨㄢˇ
kòu,ㄎㄡˋ
fó,ㄈㄛˊ
chóu,ㄔㄡˊ
dāi,ㄉㄞ
pái,ㄆㄞˊ
dǎn,ㄉㄢˇ
lú,ㄌㄨˊ
gǔn,ㄍㄨㄣˇ
wàn,ㄨㄢˋ
zhēn,ㄓㄣ
yān,ㄧㄢ
xuān,ㄒㄩㄢ
xiá,ㄒㄧㄚˊ
yǔn,ㄩㄣˇ
biāndòu,ㄅㄧㄢㄉㄡˋ
rǒng,ㄖㄨㄥˇ
miàn,ㄇㄧㄢˋ
jǐn,ㄐㄧㄣˇ
gàng,ㄍㄤˋ
bǎng,ㄅㄤˇ
dèng,ㄉㄥˋ
chúní,ㄔㄨˊㄋㄧˊ
tiān,ㄊㄧㄢ
káng,ㄎㄤˊ
kuā,ㄎㄨㄚ
dùn,ㄉㄨㄣˋ
duì,ㄉㄨㄟˋ
dǒu,ㄉㄡˇ
yǒng,ㄩㄥˇ
mī,ㄇㄧ
ěr,ㄦˇ
è,ㄜˋ
bǔjiǎo,ㄅㄨˇㄐㄧㄠˇ
dào,ㄉㄠˋ
pūdōng,ㄆㄨㄉㄨㄥ
xiáo,ㄒㄧㄠˊ
chū,ㄔㄨ
biè,ㄅㄧㄝˋ
láifú,ㄌㄞˊㄈㄨˊ
nuǎn,ㄋㄨㄢˇ
zhuān,ㄓㄨㄢ
púsù,ㄆㄨˊㄙㄨˋ
án,ㄢˊ
léi,ㄌㄟˊ
sīmá,ㄙㄇㄚˊ
hái,ㄏㄞˊ
wā,ㄨㄚ
shùhuǎng,ㄕㄨˋㄏㄨㄤˇ
zhé,ㄓㄜˊ
jiàn,ㄐㄧㄢˋ
chēng,ㄔㄥ
qiǎn,ㄑㄧㄢˇ
huí,ㄏㄨㄟˊ
yún,ㄩㄣˊ
chōngchú,ㄔㄨㄥㄔㄨˊ
é,ㄜˊ
kuì,ㄎㄨㄟˋ
yǐn,ㄧㄣˇ
ma,˙ㄇㄚ
qūtúxǐxīn,ㄑㄩㄊㄨˊㄒㄧˇㄒㄧㄣ
gǎn,ㄍㄢˇ
páo,ㄆㄠˊ
mò,ㄇㄛˋ
lián,ㄌㄧㄢˊ
piánpì,ㄆㄧㄢˊㄆㄧˋ
guǐ,ㄍㄨㄟˇ
tuótuó,ㄊㄨㄛˊㄊㄨㄛˊ
shénshūyùlǜ,ㄕㄣˊㄕㄨㄩˋㄌㄩˋ
yīn,ㄧㄣ
rén,ㄖㄣˊ
dú,ㄉㄨˊ
